,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,Response,Country,Frequency,Monetary,Customer_Age
436,Master,Together,80184.0,0,0,19,0,SP,19,1902,70
437,Graduation,Single,76982.0,0,0,19,1,SP,15,1062,47
438,PhD,Single,65295.0,0,0,19,0,US,19,664,33
439,Graduation,Together,57100.0,0,0,19,0,SA,12,409,40
440,Graduation,Together,29009.0,1,0,19,0,US,5,44,32
441,PhD,Together,78931.0,0,0,19,0,CA,23,943,42
442,Master,Together,7500.0,1,0,19,0,AUS,5,31,38
443,Graduation,Together,56939.0,0,1,19,0,SP,16,561,37
444,Graduation,Single,64509.0,0,0,19,1,SA,18,1722,23
445,Graduation,Together,30093.0,0,0,19,0,SP,5,69,23
446,PhD,Together,30351.0,1,0,19,1,US,5,46,39
447,PhD,Together,30351.0,1,0,19,0,SP,5,46,39
448,PhD,Together,38201.0,0,1,19,0,SA,11,268,53
449,Graduation,Single,,1,0,19,0,AUS,27,637,27
450,PhD,Together,43974.0,1,0,19,0,CA,16,551,32
451,Graduation,Together,38200.0,1,1,19,0,SP,3,17,42
452,2n Cycle,Single,87305.0,0,0,19,1,AUS,16,1152,52
453,Graduation,Together,16860.0,1,1,19,0,SP,5,38,51
454,PhD,Single,27213.0,1,0,19,1,SP,6,70,40
455,Graduation,Together,7500.0,1,0,19,1,AUS,7,71,36
457,Master,Together,38196.0,1,1,20,0,SP,6,44,43
458,PhD,Together,41145.0,1,1,20,0,CA,3,13,64
459,PhD,Single,38513.0,1,0,20,1,SP,12,324,32
460,Graduation,Together,45688.0,0,1,20,0,SP,12,306,46
461,PhD,Together,77863.0,0,0,20,0,SP,19,1291,55
462,Master,Together,42169.0,1,1,20,0,SP,4,30,44
463,Graduation,Single,45906.0,0,1,20,0,SP,13,486,49
464,2n Cycle,Single,35388.0,1,0,20,0,SA,4,32,25
465,Graduation,Together,80952.0,0,0,20,1,GER,24,1757,44
466,Graduation,Together,39898.0,0,1,20,0,CA,7,134,59
467,Graduation,Together,39898.0,0,1,20,0,SP,7,134,59
468,Master,Single,44051.0,1,1,20,1,SA,8,171,40
469,Graduation,Together,86718.0,0,0,20,0,IND,16,1270,59
470,Master,Together,80141.0,0,0,20,1,SP,21,2091,27
471,Graduation,Together,58597.0,1,1,20,0,IND,20,733,36
472,PhD,Together,70356.0,0,0,20,0,CA,25,1706,67
473,Graduation,Single,46904.0,1,1,20,0,SP,10,253,45
474,Graduation,Together,37760.0,0,0,20,0,US,11,317,66
475,Graduation,Together,37760.0,0,0,20,0,SA,11,317,66
476,Graduation,Single,61839.0,0,0,20,0,SP,16,1895,48
477,PhD,Together,29791.0,1,0,21,0,AUS,5,20,42
478,PhD,Single,48918.0,1,1,21,0,SP,5,62,51
479,PhD,Single,48918.0,1,1,21,0,SP,5,62,51
480,Graduation,Together,58692.0,0,1,21,0,CA,14,395,49
481,Graduation,Together,39356.0,1,1,21,0,SP,3,23,38
482,Master,Together,76234.0,0,1,21,0,CA,22,907,42
483,Graduation,Together,55434.0,1,0,21,0,SA,21,882,29
484,Master,Together,66835.0,0,0,21,0,IND,23,1033,67
485,Master,Together,66835.0,0,0,21,0,SP,23,1033,67
486,Graduation,Together,71965.0,0,1,21,0,CA,14,1213,62
487,Graduation,Together,74538.0,0,0,21,1,SP,21,1461,42
488,Graduation,Single,50002.0,0,1,21,0,SA,17,638,59
489,Graduation,Together,53977.0,0,1,21,0,CA,22,907,55
490,Graduation,Together,53977.0,0,1,21,0,SP,22,907,55
491,Graduation,Together,69930.0,0,0,21,0,IND,21,1662,42
492,PhD,Together,62981.0,0,0,21,0,CA,22,1482,46
493,Master,Together,46014.0,1,1,21,0,SA,16,541,39
494,Graduation,Together,18227.0,1,0,21,0,SP,3,28,25
495,Graduation,Together,65991.0,0,1,21,0,SP,24,971,36
496,Graduation,Single,38808.0,1,0,21,1,SP,10,246,40
497,PhD,Together,160803.0,0,0,21,0,US,29,1717,30
498,Master,Together,43783.0,1,0,22,0,CA,16,629,36
499,PhD,Together,30396.0,1,0,22,1,SP,4,34,45
500,PhD,Together,65526.0,0,1,22,0,SP,16,506,50
501,PhD,Together,65526.0,0,1,22,0,SA,16,506,50
502,Graduation,Together,55956.0,0,0,22,0,SP,14,999,70
503,Graduation,Single,55563.0,0,1,22,0,SP,5,43,36
504,PhD,Together,57236.0,1,1,22,0,SP,7,121,49
505,Graduation,Single,89694.0,1,1,22,0,AUS,11,1472,40
506,Master,Together,57420.0,0,1,22,0,US,12,322,42
507,Graduation,Together,33622.0,1,1,22,0,GER,6,81,41
508,PhD,Single,29999.0,1,0,22,0,SP,8,160,27
509,PhD,Together,31497.0,0,1,22,0,SP,8,155,50
510,PhD,Together,31497.0,0,1,22,0,SA,8,155,50
511,PhD,Single,36802.0,1,0,23,0,SP,4,20,34
512,Graduation,Single,61671.0,0,1,23,0,SP,20,732,46
513,2n Cycle,Single,60182.0,0,1,23,0,SA,3,22,121
514,PhD,Together,29732.0,1,0,23,0,CA,4,38,43
515,PhD,Together,45921.0,0,0,23,0,SA,9,199,28
516,Graduation,Together,16529.0,1,0,23,0,CA,4,22,30
517,Master,Single,98777.0,0,0,23,0,SP,19,2008,54
518,Master,Single,98777.0,0,0,23,0,SP,19,2008,54
519,Master,Together,77027.0,0,1,23,0,SP,17,1175,62
520,Graduation,Together,69139.0,0,1,23,0,SP,10,227,49
521,Graduation,Together,69139.0,0,1,23,0,SA,10,227,49
522,Graduation,Together,65169.0,0,0,23,1,SP,27,1189,32
523,Graduation,Single,40049.0,0,1,23,0,SP,4,32,61
524,Graduation,Together,69755.0,0,0,23,0,SA,21,894,68
525,PhD,Together,,0,1,23,0,CA,14,404,52
526,PhD,Together,54456.0,0,1,23,0,SP,14,404,52
527,Graduation,Together,666666.0,1,0,23,0,SA,7,62,36
528,Graduation,Single,60689.0,0,1,23,0,US,18,639,62
529,Basic,Single,26487.0,1,0,23,0,CA,6,69,35
530,Graduation,Together,28164.0,1,0,23,0,GER,6,78,43
531,Graduation,Single,22585.0,0,0,23,1,SP,4,81,43
532,Graduation,Together,64795.0,0,1,23,0,SP,18,680,42
533,PhD,Single,42000.0,0,0,23,1,SP,18,653,26
534,PhD,Single,42000.0,0,0,23,1,AUS,18,653,26
535,Graduation,Together,70713.0,0,1,23,0,SP,19,1477,46
536,PhD,Single,82800.0,0,0,23,1,US,25,1315,66
537,PhD,Single,82800.0,0,0,23,1,SA,25,1315,66
538,Basic,Together,30801.0,0,1,23,0,SP,4,45,37
539,Master,Together,83891.0,0,1,24,0,SP,21,816,40
540,Master,Single,38054.0,1,1,24,0,IND,5,45,64
541,Graduation,Together,14045.0,1,0,24,0,SP,4,20,45
542,PhD,Together,44155.0,1,1,24,0,SP,4,46,57
543,PhD,Single,57642.0,0,1,24,0,IND,19,679,44
544,Graduation,Together,31353.0,1,1,24,0,IND,4,31,36
545,Graduation,Together,31353.0,1,1,24,1,SA,4,31,36
546,Master,Single,41335.0,1,0,24,0,AUS,9,187,45
547,Master,Single,41335.0,1,0,24,0,US,9,187,45
548,PhD,Single,40737.0,2,1,24,0,SA,3,17,56
549,2n Cycle,Together,19789.0,1,0,24,0,SP,6,78,38
550,PhD,Single,35946.0,1,1,24,0,AUS,3,11,64
551,Master,Together,36262.0,0,0,24,1,SP,11,426,30
552,Master,Single,44551.0,0,1,24,0,SA,10,285,59
553,Graduation,Together,71367.0,0,0,24,0,SP,16,777,54
554,Graduation,Together,71367.0,0,0,24,0,SP,16,777,54
555,Graduation,Together,57957.0,0,1,24,0,CA,18,637,54
556,2n Cycle,Together,50334.0,0,1,24,0,SA,17,694,41
557,Master,Together,48150.0,0,1,24,0,GER,10,266,64
558,Graduation,Together,56796.0,0,1,24,0,SP,24,1001,44
559,Graduation,Together,56796.0,0,1,24,0,AUS,24,1001,44
560,PhD,Single,52278.0,0,1,24,1,SA,25,1198,50
561,PhD,Single,52278.0,0,1,24,0,SP,25,1198,50
562,2n Cycle,Together,7500.0,0,0,24,1,AUS,7,122,16
563,Master,Together,33444.0,1,1,24,0,SP,3,18,60
564,Graduation,Together,20895.0,1,0,24,0,AUS,5,45,39
565,Master,Together,37509.0,1,0,24,0,GER,7,123,36
566,Master,Together,88097.0,1,0,24,1,SP,19,844,34
567,Graduation,Together,59041.0,1,1,25,0,SA,6,96,41
568,Graduation,Single,43322.0,0,0,25,0,IND,7,141,40
569,PhD,Together,46015.0,1,1,25,0,SA,4,46,59
570,PhD,Together,46015.0,1,1,25,0,CA,4,46,59
571,Master,Together,34242.0,0,1,25,0,SP,3,15,55
572,Graduation,Together,65210.0,0,1,25,0,CA,20,731,59
573,PhD,Single,50520.0,0,1,25,0,SP,7,135,56
574,Graduation,Together,90765.0,0,0,25,0,CA,15,1724,44
575,Graduation,Together,80589.0,0,0,25,1,AUS,20,1428,70
576,Master,Together,49572.0,1,1,25,0,CA,5,54,55
577,Graduation,Together,75437.0,0,0,25,0,SP,22,1493,35
578,Master,Single,44635.0,1,1,25,0,SP,5,68,42
579,Graduation,Together,58512.0,0,1,25,0,GER,15,1171,49
580,PhD,Single,62000.0,0,1,25,0,SP,25,1020,61
581,Graduation,Single,54252.0,1,1,25,0,AUS,10,264,57
582,PhD,Together,45068.0,0,1,25,0,SP,3,20,39
583,Graduation,Single,60474.0,0,1,25,0,IND,24,1180,34
584,Graduation,Single,60474.0,0,1,25,0,CA,24,1180,34
585,2n Cycle,Together,56337.0,1,1,25,1,SP,17,724,32
586,Graduation,Together,22434.0,1,0,25,0,SP,5,58,26
587,Graduation,Together,61416.0,0,0,25,0,US,23,1665,31
588,Master,Together,92163.0,0,0,25,1,SP,21,2086,37
589,Master,Together,58656.0,0,1,25,0,SP,28,1220,56
590,2n Cycle,Together,,1,0,25,0,GER,6,109,39
591,Basic,Single,8940.0,1,0,25,0,SP,7,101,26
592,Graduation,Together,26751.0,2,0,26,0,SP,3,11,40
593,Graduation,Together,71427.0,2,0,26,0,US,18,614,36
594,Graduation,Together,26646.0,1,0,26,0,US,6,53,30
595,Graduation,Single,19346.0,1,0,26,0,CA,4,22,40
596,Graduation,Single,56243.0,1,2,26,0,US,14,396,38
597,PhD,Together,59892.0,0,1,26,0,CA,6,87,43
598,Graduation,Together,71613.0,0,0,26,0,US,20,776,48
599,Graduation,Together,25252.0,1,0,26,0,AUS,3,18,27
600,Graduation,Single,42160.0,1,1,26,1,SP,7,140,38
601,Basic,Single,15862.0,1,0,26,0,SP,4,36,34
602,Master,Together,82584.0,0,0,26,1,SP,15,1435,39
603,Graduation,Together,38360.0,1,0,26,0,AUS,7,131,24
604,PhD,Together,75283.0,1,2,26,0,SA,14,1019,56
605,Master,Together,34941.0,1,1,26,0,AUS,6,97,57
606,Graduation,Single,61823.0,0,1,26,0,AUS,20,884,61
607,Master,Together,90226.0,0,0,26,0,SA,23,2352,56
608,Graduation,Together,44989.0,0,1,26,0,SP,11,369,38
609,Graduation,Together,44989.0,0,1,26,0,SP,11,369,38
610,Graduation,Together,43586.0,0,1,26,0,GER,7,132,32
611,Graduation,Single,32233.0,1,0,26,1,SP,10,296,38
612,Graduation,Together,62882.0,0,1,26,0,AUS,18,1338,43
613,Master,Together,57288.0,0,1,27,0,CA,17,608,51
614,2n Cycle,Together,75774.0,1,0,27,0,SA,20,823,33
615,2n Cycle,Together,75774.0,1,0,27,0,SP,20,823,33
616,Master,Single,90247.0,0,0,27,1,US,14,1621,26
617,2n Cycle,Single,32218.0,0,0,27,1,SP,6,93,54
618,Graduation,Together,84219.0,0,0,27,0,SA,17,1198,26
619,Graduation,Together,84219.0,0,0,27,0,CA,17,1198,26
620,Graduation,Single,48877.0,0,1,27,0,SP,7,144,48
621,Graduation,Together,60905.0,0,1,27,0,US,13,392,63
622,Graduation,Together,75236.0,0,1,27,0,SP,24,1068,49
623,Graduation,Single,62551.0,0,0,27,0,IND,17,421,60
624,PhD,Together,70123.0,0,0,27,0,IND,16,1727,30
625,Graduation,Single,50785.0,1,1,27,0,CA,6,114,51
626,2n Cycle,Together,15315.0,0,0,27,0,SP,6,64,43
627,2n Cycle,Together,15315.0,0,0,27,0,SP,6,64,43
628,PhD,Together,64413.0,0,1,27,0,SP,11,279,43
629,PhD,Together,87171.0,0,0,27,0,SP,24,1298,32
630,Graduation,Single,30081.0,0,1,27,0,SP,4,42,52
631,Graduation,Single,20180.0,0,0,27,0,SP,7,137,37
632,Graduation,Single,20180.0,0,0,27,0,SP,7,137,37
633,Graduation,Single,55686.0,0,1,27,0,SP,14,982,47
634,2n Cycle,Together,26887.0,0,1,27,0,SP,4,30,54
635,PhD,Together,61996.0,0,1,27,1,SP,18,1230,36
636,Graduation,Single,51537.0,0,1,27,0,SA,15,1103,60
637,Graduation,Together,72025.0,0,0,27,0,SP,15,1932,50
638,Master,Together,30538.0,1,0,27,0,SP,13,367,41
639,2n Cycle,Single,61618.0,0,0,27,0,IND,17,1345,21
640,Graduation,Together,77343.0,0,0,28,0,CA,16,1134,49
641,Graduation,Together,75433.0,1,0,28,0,SP,17,1188,25
642,PhD,Single,82571.0,0,0,28,0,SP,24,1686,52
643,Master,Together,60033.0,0,1,28,0,SP,8,198,60
644,Graduation,Single,39062.0,1,0,28,0,SP,4,44,31
645,Graduation,Together,30023.0,1,0,28,0,SP,5,61,42
646,Graduation,Single,30015.0,1,0,28,0,SP,5,57,44
647,Graduation,Together,33228.0,1,0,28,0,SP,5,71,34
648,Graduation,Together,22574.0,2,1,28,0,SP,5,37,46
649,Graduation,Together,22574.0,2,1,28,0,SP,5,37,46
650,Graduation,Together,55267.0,0,1,28,0,CA,13,405,56
651,Graduation,Together,66886.0,0,1,28,0,SP,15,599,55
652,Graduation,Single,72258.0,0,1,28,0,CA,20,1525,42
653,PhD,Single,82733.0,0,0,28,1,SP,19,1323,29
654,Graduation,Single,45146.0,1,1,28,0,IND,4,53,50
655,2n Cycle,Single,51250.0,1,0,28,0,SA,19,710,23
656,Graduation,Together,32871.0,1,1,28,0,US,4,43,62
657,2n Cycle,Together,63855.0,0,0,28,0,GER,23,1006,35
658,PhD,Single,42564.0,0,1,28,1,CA,18,813,45
659,2n Cycle,Together,46344.0,0,1,28,0,CA,13,429,40
660,Graduation,Together,50437.0,0,2,28,0,SP,16,490,49
661,Graduation,Together,70971.0,0,1,28,1,SP,27,1825,52
662,Graduation,Single,37774.0,2,0,28,1,SP,12,473,35
664,Graduation,Single,33279.0,0,0,29,0,SP,3,16,48
665,Graduation,Together,42693.0,1,0,29,0,SP,4,57,36
666,Master,Together,70545.0,0,1,29,0,AUS,12,334,62
667,Graduation,Single,65486.0,0,1,29,0,AUS,16,507,57
668,Master,Together,77882.0,0,0,29,0,SA,11,818,33
669,Graduation,Together,78468.0,0,0,29,0,US,27,1004,54
670,Graduation,Together,77226.0,0,1,29,0,SP,26,1138,51
671,Master,Single,90638.0,0,0,29,0,SP,17,2525,23
672,Master,Single,90638.0,0,0,29,1,SA,17,2525,23
673,Graduation,Together,70666.0,0,0,29,0,AUS,15,1076,65
674,2n Cycle,Single,59052.0,0,1,29,0,SA,15,491,54
675,Basic,Together,13084.0,0,0,29,0,US,4,29,61
676,Graduation,Single,49160.0,0,1,29,0,SP,10,236,64
677,Graduation,Single,23272.0,0,0,29,0,SP,4,46,60
678,Master,Single,49476.0,0,1,29,0,CA,18,795,50
679,Master,Together,62694.0,1,1,29,0,SP,19,749,48
680,PhD,Together,57906.0,0,1,29,0,IND,14,401,40
681,Graduation,Together,71853.0,0,0,29,0,SP,16,1149,31
682,Graduation,Together,71853.0,0,0,29,0,SP,16,1149,31
683,Graduation,Together,65031.0,0,1,29,0,GER,26,863,54
684,Graduation,Together,30507.0,0,0,29,0,SP,10,343,53
685,Graduation,Together,67419.0,0,1,29,0,CA,21,1471,43
686,Graduation,Together,59462.0,0,1,29,0,US,23,1088,63
687,Graduation,Single,95529.0,0,0,29,1,SA,17,1990,18
688,Graduation,Single,53653.0,0,0,29,0,SP,26,1210,59
689,Basic,Together,25965.0,0,0,29,0,SP,5,74,32
690,Graduation,Together,22979.0,1,0,29,1,SP,7,115,42
691,PhD,Single,64950.0,0,1,29,0,SA,23,966,61
692,Graduation,Together,44322.0,1,0,30,0,SA,6,92,29
693,Graduation,Together,30096.0,1,0,30,0,GER,5,45,31
694,Graduation,Together,30096.0,1,0,30,0,SP,5,45,31
695,Graduation,Single,56628.0,0,1,30,0,CA,18,761,37
696,2n Cycle,Together,82326.0,0,0,30,1,SP,21,2257,37
697,Graduation,Single,71163.0,0,0,30,0,GER,23,960,19
698,Graduation,Single,71022.0,0,1,30,0,US,18,1453,36
699,2n Cycle,Single,42607.0,0,1,30,0,SA,12,350,59
700,Graduation,Together,43057.0,0,1,30,0,SP,11,266,38
701,Master,Together,47808.0,0,1,30,0,SP,8,224,38
702,Graduation,Single,29236.0,1,0,30,0,SP,7,99,26
703,Graduation,Single,40590.0,1,1,30,0,CA,10,258,44
704,Graduation,Single,40590.0,1,1,30,0,CA,10,258,44
705,Master,Together,77520.0,0,1,30,1,SP,22,1526,54
706,Graduation,Together,40211.0,1,1,30,0,SP,5,87,32
707,PhD,Together,63516.0,1,1,30,0,CA,12,300,40
708,Graduation,Single,53034.0,1,1,30,0,US,14,447,39
709,Master,Together,22669.0,1,0,30,1,SP,7,173,38
710,Graduation,Together,79908.0,0,0,30,0,SP,18,1772,31
711,PhD,Single,69867.0,0,0,30,1,SA,16,925,27
712,Graduation,Single,70287.0,0,0,30,1,AUS,20,1093,47
713,Graduation,Single,37070.0,1,1,30,1,SA,14,433,47
714,Graduation,Single,37070.0,1,1,30,1,SP,14,433,47
715,Master,Together,38179.0,1,1,30,0,SA,7,90,47
716,Graduation,Together,39922.0,1,0,30,0,IND,7,156,30
717,Graduation,Together,39922.0,1,0,30,0,GER,7,156,30
718,Graduation,Together,39922.0,1,0,30,0,SA,7,156,30
719,Master,Single,64191.0,0,1,30,0,SP,21,825,50
720,2n Cycle,Single,41658.0,1,1,30,0,AUS,4,72,37
721,Graduation,Single,40780.0,0,1,30,0,CA,13,377,36
722,Graduation,Together,77568.0,0,1,30,0,SP,20,2194,33
723,Graduation,Single,66503.0,1,0,30,0,SP,13,401,27
724,Graduation,Together,83512.0,0,0,31,1,SP,21,2157,28
725,PhD,Together,31686.0,1,1,31,0,SA,4,17,50
726,Graduation,Together,71322.0,0,1,31,0,AUS,12,350,38
727,Graduation,Single,27938.0,1,0,31,0,AUS,5,29,26
728,Graduation,Single,22263.0,1,1,31,0,SP,4,21,63
729,Graduation,Together,34633.0,2,1,31,0,SA,3,15,58
730,Graduation,Together,42162.0,1,0,31,1,SP,7,145,32
732,Graduation,Single,54162.0,1,1,31,0,SP,4,42,35
733,2n Cycle,Single,41769.0,0,1,31,0,IND,16,521,58
734,PhD,Together,44953.0,0,0,31,0,GER,23,1021,31
735,PhD,Together,37717.0,1,0,31,0,SA,3,25,34
736,PhD,Together,37717.0,1,0,31,0,SP,3,25,34
737,Graduation,Together,40548.0,0,1,31,0,AUS,7,120,42
738,2n Cycle,Single,67893.0,0,1,31,0,SA,14,995,37
739,Graduation,Single,69267.0,0,0,31,1,SA,12,1635,59
740,Basic,Single,9548.0,1,0,31,0,CA,4,29,36
741,Graduation,Single,68281.0,0,0,31,1,SP,24,1655,54
742,2n Cycle,Together,92556.0,0,0,32,0,SP,21,1263,54
743,Graduation,Single,48526.0,1,0,32,0,SP,7,135,34
744,Graduation,Single,90273.0,0,0,32,1,SP,18,1991,22
745,2n Cycle,Together,19414.0,1,0,32,0,CA,4,32,32
746,PhD,Single,79761.0,0,1,32,0,SA,18,605,55
747,PhD,Together,53312.0,0,0,32,0,SP,11,278,62
748,2n Cycle,Together,41039.0,0,0,32,0,US,14,467,31
749,Graduation,Together,88347.0,0,0,32,0,SP,20,2116,52
750,PhD,Together,50150.0,0,0,32,0,CA,14,410,30
751,PhD,Together,50150.0,0,0,32,0,SP,14,410,30
752,Graduation,Single,10245.0,1,0,32,0,SP,5,41,42
753,PhD,Together,33454.0,1,0,32,0,US,8,169,28
754,Graduation,Single,40887.0,1,1,32,1,SP,7,161,61
755,Graduation,Together,55914.0,0,1,32,0,US,25,1260,38
756,Graduation,Together,37292.0,1,0,32,0,SP,14,460,30
757,Graduation,Together,52914.0,0,1,32,0,CA,13,575,42
758,2n Cycle,Together,24884.0,1,0,32,0,SP,3,19,40
759,Graduation,Single,67384.0,0,1,32,0,SP,20,1490,42
760,Graduation,Together,51651.0,0,1,32,0,AUS,13,433,52
761,Graduation,Together,82497.0,0,0,32,0,SA,18,1919,32
762,2n Cycle,Together,32632.0,0,0,32,0,SP,16,576,49
763,Master,Together,33562.0,1,2,33,0,IND,6,51,51
764,Graduation,Single,79146.0,1,1,33,0,GER,17,564,47
765,Graduation,Single,79146.0,1,1,33,0,SP,17,564,47
766,Master,Single,36143.0,1,0,33,0,SP,3,19,33
767,Master,Together,27159.0,1,1,33,0,SP,4,21,41
768,Master,Together,41275.0,1,2,33,0,CA,7,61,54
769,2n Cycle,Together,76800.0,0,0,33,0,IND,15,641,49
770,Graduation,Together,75794.0,0,0,33,0,SA,24,1682,26
771,Graduation,Together,30833.0,1,1,33,0,SP,4,28,62
772,PhD,Single,26518.0,1,1,33,1,US,5,57,64
773,Graduation,Single,91065.0,0,0,33,1,SP,25,1474,32
774,Master,Single,45183.0,0,0,33,0,CA,12,315,51
775,Graduation,Together,48070.0,0,1,33,0,SP,16,504,63
776,Graduation,Single,30372.0,1,1,33,0,SP,5,44,41
777,Graduation,Single,30372.0,1,1,33,0,SP,5,44,41
778,2n Cycle,Together,57036.0,0,1,33,0,IND,22,1513,37
779,Graduation,Single,66731.0,0,1,33,0,SP,13,1029,42
780,PhD,Single,35682.0,1,0,34,0,AUS,5,57,44
781,Master,Single,10979.0,0,0,34,0,AUS,6,30,25
782,Master,Single,10979.0,0,0,34,0,SP,6,30,25
783,PhD,Single,57912.0,0,1,34,0,SA,23,916,49
784,Graduation,Together,36026.0,2,1,34,0,AUS,5,61,42
785,Graduation,Together,35788.0,1,1,34,0,CA,5,44,43
786,Graduation,Together,42243.0,1,1,34,0,SA,5,55,54
787,Graduation,Single,46086.0,0,1,34,0,SP,12,343,57
788,Master,Together,61346.0,1,0,34,0,IND,22,989,35
789,Master,Single,33316.0,1,1,34,0,US,7,131,42
790,Master,Single,33316.0,1,1,34,0,SP,7,131,42
791,Basic,Single,21063.0,1,0,34,0,SP,5,59,26
792,Graduation,Single,33697.0,1,0,34,0,GER,3,28,43
793,2n Cycle,Together,25804.0,1,0,34,0,CA,5,55,35
794,Graduation,Together,72117.0,0,1,34,0,SP,25,1073,36
795,Graduation,Together,61286.0,0,1,34,0,IND,16,608,47
796,Graduation,Together,61286.0,0,1,34,0,GER,16,608,47
797,Graduation,Together,65196.0,0,2,34,0,SP,24,1155,55
798,Graduation,Single,55635.0,0,1,34,0,US,17,590,41
799,Master,Together,42021.0,1,0,34,0,SP,17,573,31
800,Master,Together,75251.0,0,0,34,1,GER,18,1890,40
801,Graduation,Together,35322.0,1,2,34,0,SP,6,106,44
802,PhD,Together,53374.0,0,1,34,1,CA,15,1064,43
803,Graduation,Together,87195.0,0,0,35,1,CA,19,1097,55
804,2n Cycle,Single,42395.0,1,1,35,0,IND,8,182,33
805,Graduation,Together,82427.0,0,0,35,0,SP,20,1456,48
806,Master,Together,44602.0,1,1,35,0,IND,11,292,45
807,Graduation,Together,94642.0,0,0,35,0,SP,21,2211,63
808,Graduation,Together,28359.0,1,0,35,0,SA,3,16,30
809,Graduation,Single,55801.0,1,1,35,0,US,15,527,38
810,Graduation,Together,92955.0,0,0,35,1,SA,22,1778,40
811,Graduation,Together,56534.0,0,1,35,1,SP,21,815,45
812,Graduation,Single,69627.0,0,1,35,0,US,21,861,51
813,Master,Single,78579.0,0,0,35,1,SP,15,1812,42
814,Graduation,Together,44964.0,1,1,35,0,AUS,4,41,32
815,PhD,Single,30899.0,1,0,35,0,SA,4,33,38
816,PhD,Single,78825.0,0,0,35,1,SP,28,895,48
817,Graduation,Together,25545.0,1,0,35,1,SP,7,210,25
818,PhD,Single,47111.0,0,1,35,0,SA,15,1092,41
819,PhD,Single,49667.0,0,0,35,1,CA,20,1396,57
820,Master,Together,66000.0,0,0,36,0,SP,9,711,67
821,PhD,Together,46910.0,1,1,36,0,SP,5,68,50
822,Basic,Together,25224.0,1,0,36,0,CA,5,46,42
823,Graduation,Together,77382.0,0,1,36,0,SP,24,1121,46
824,PhD,Single,28420.0,1,0,36,0,SP,3,13,46
825,Graduation,Single,32952.0,1,0,36,0,CA,5,55,36
826,Graduation,Together,46149.0,0,1,36,0,SP,13,362,38
827,PhD,Together,83532.0,0,0,36,0,SP,14,1853,114
828,PhD,Together,73059.0,0,1,36,0,SP,25,1095,66
829,PhD,Together,73059.0,0,1,36,0,SA,25,1095,66
830,Graduation,Together,35701.0,0,0,36,0,SP,4,46,54
831,Master,Single,89616.0,0,0,36,1,CA,24,1644,30
832,Graduation,Together,105471.0,0,0,36,1,SP,30,1724,43
833,Master,Single,78427.0,0,0,36,1,GER,20,1930,64
834,Graduation,Together,22518.0,1,0,36,1,SP,5,61,26
835,Graduation,Together,59809.0,0,2,36,0,CA,12,877,36
836,Graduation,Single,39660.0,1,0,36,1,SP,11,299,30
837,2n Cycle,Together,52203.0,0,0,36,0,US,26,939,62
838,PhD,Single,35860.0,1,1,37,1,CA,4,49,41
839,PhD,Single,35860.0,1,1,37,0,SP,4,49,41
840,PhD,Single,35860.0,1,1,37,0,SP,4,49,41
841,PhD,Single,35860.0,1,1,37,1,SA,4,49,41
842,PhD,Single,76842.0,0,0,37,0,SP,16,1130,64
843,Graduation,Single,15033.0,0,0,37,0,SA,4,19,63
844,PhD,Together,67353.0,0,1,37,0,AUS,23,913,43
845,2n Cycle,Together,17003.0,1,0,37,0,GER,6,38,38
846,Master,Together,65735.0,1,1,37,0,SP,14,395,48
847,Graduation,Single,45684.0,1,0,37,0,SA,3,28,42
848,Graduation,Together,21918.0,1,0,37,0,CA,5,33,44
849,Graduation,Together,51267.0,1,1,37,0,CA,11,270,35
850,Graduation,Together,59868.0,0,1,37,0,SP,25,1194,41
851,Graduation,Together,51373.0,0,0,37,0,SP,11,393,22
852,Master,Together,46692.0,0,1,37,0,SP,12,397,55
853,Master,Together,157733.0,1,0,37,0,SP,2,59,42
854,PhD,Together,54432.0,2,1,37,0,SP,4,38,63
855,Graduation,Single,79607.0,0,0,37,1,CA,15,1923,29
856,Graduation,Single,51813.0,1,1,37,0,CA,5,63,41
857,Basic,Together,17487.0,1,0,37,0,AUS,3,18,24
858,PhD,Together,40706.0,2,1,37,0,SA,7,81,45
859,PhD,Single,62859.0,0,1,37,0,SP,19,1307,53
860,Graduation,Together,61074.0,0,1,37,0,SA,24,1102,54
861,Graduation,Single,43638.0,0,1,37,0,SP,9,201,43
862,Graduation,Together,58116.0,0,1,38,0,SP,14,443,58
863,PhD,Single,62187.0,0,1,38,0,SP,18,636,45
864,Graduation,Single,46344.0,1,1,38,0,US,4,27,60
865,Graduation,Together,77353.0,0,1,38,0,SP,18,670,33
866,PhD,Single,69759.0,0,0,38,1,SP,15,1029,47
867,Graduation,Single,21846.0,1,0,38,0,SA,7,84,27
868,Graduation,Together,76532.0,1,1,38,0,SP,21,820,38
869,Master,Together,70053.0,0,1,38,0,SP,23,1012,48
870,2n Cycle,Single,75342.0,0,1,38,0,SP,17,563,55
871,Master,Together,27590.0,1,0,38,0,SP,3,12,31
872,Graduation,Together,51148.0,1,1,38,0,IND,12,315,40
873,Graduation,Single,33378.0,1,1,38,0,SA,6,99,50
874,PhD,Together,32644.0,1,0,38,0,SP,14,413,40
875,PhD,Together,33581.0,2,0,38,0,SP,3,17,44
